slug,title,image_url,image_alt,image_position
midnight-commander-suit,Midnight Commander Suit,/images/ixquisite/midnight-commander-suit.webp,Royal blue double-breasted suit shown in a clean portrait crop.,center 18%
cocoa-double-breasted-suit,Cocoa Double-Breasted Suit,/images/ixquisite/cocoa-double-breasted-suit.webp,Cocoa double-breasted suit in a strong editorial portrait.,center 18%
ivory-broadcloth-shirt,Ivory Broadcloth Shirt,/images/ixquisite/ivory-broadcloth-shirt.webp,Ivory broadcloth shirt layered into a clean tailored look.,center 18%
slate-pinstripe-shirt,Slate Pinstripe Shirt,/images/ixquisite/slate-pinstripe-shirt.webp,Blue tailored styling used to represent the slate pinstripe shirt.,center 18%
tailored-ink-trouser,Tailored Ink Trouser,/images/ixquisite/tailored-ink-trouser.webp,Dark formal tailoring used to represent the tailored ink trouser.,center 18%
walnut-pleated-trouser,Walnut Pleated Trouser,/images/ixquisite/walnut-pleated-trouser.webp,Warm-toned pleated trouser styling in a full-length tailored frame.,center 18%
regent-silk-tie,Regent Silk Tie,/images/ixquisite/regent-silk-tie.webp,Close crop highlighting the regent silk tie in a formal look.,center 18%
heirloom-accessory-set,Heirloom Accessory Set,/images/ixquisite/heirloom-accessory-set.webp,Accessory-led black formalwear detail for the heirloom set.,center 18%
placeholder-charcoal-windowpane-suit,Charcoal Windowpane Suit,/images/ixquisite/charcoal-windowpane-suit.webp,Dark ceremony tailoring used to represent the charcoal windowpane suit.,center 18%
placeholder-midnight-velvet-smoking-jacket,Midnight Velvet Smoking Jacket,/images/ixquisite/midnight-velvet-smoking-jacket.webp,Dark formalwear detail used to represent the midnight velvet smoking jacket.,center 18%
placeholder-oxblood-dinner-jacket,Oxblood Dinner Jacket,/images/ixquisite/oxblood-dinner-jacket.webp,Burgundy dinner jacket portrait with ceremony-ready polish.,center 18%
placeholder-forest-pinstripe-double-breasted-suit,Forest Pinstripe Double-Breasted Suit,/images/ixquisite/forest-pinstripe-double-breasted-suit.webp,"Forest double-breasted tailoring with a rich, modern formal silhouette.",center 18%
